Site,Timing,Sensor,Method,plot,MW,floral,woody,grass,broadleaf,bare,wetland,unclassified,area_sampled,site_area,plot_area
Solar (MN),Early Season,1,Site al,1,21,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,2,22,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,3,15,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,4,11,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,5,14,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,6,9,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,7,8,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,8,8,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,9,12,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Site al,10,15,NA,NA,NA,NA,NA,NA,NA,557.54,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,1,0,30,0,10,89,1,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,1,0,21,0,45,45,10,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,2,1,8,1,45,54,0,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,2,2,0,0,70,20,10,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,3,0,1,0,65,15,20,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,3,0,10,0,60,30,10,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,4,1,6,0,30,55,15,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,4,0,10,5,70,24,1,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,5,0,6,12,20,58,10,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,5,0,10,0,35,50,15,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,6,0,30,3,37,45,15,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,6,0,0,0,40,35,25,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,7,0,0,0,60,20,20,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,7,0,5,0,53,35,12,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,8,0,35,0,10,65,25,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,8,5,15,5,50,30,15,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,9,0,4,4,51,30,15,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,9,0,15,0,52,45,3,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,10,0,5,1,55,26,18,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Transect plot,10,0,0,40,35,0,25,0,0,4,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,0,0,55,40,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,1,35,0,40,60,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,10,0,5,93,2,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,6,5,35,60,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,3,0,5,88,7,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,0,0,50,50,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,3,0,10,87,3,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,0,0,75,0,25,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,5,0,60,40,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,1,0,5,0,0,95,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,0,0,80,20,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,5,0,60,40,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,0,0,90,5,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,10,0,40,55,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,5,0,60,30,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,5,0,90,10,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,5,0,60,30,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,0,0,45,35,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,0,0,0,85,15,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,2,1,0,0,60,20,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,0,0,40,40,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,0,0,70,10,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,0,0,50,40,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,0,0,35,40,25,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,10,0,25,65,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,0,0,50,25,25,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,0,0,90,10,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,5,0,75,20,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,0,0,15,50,35,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,3,0,0,0,90,5,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,2,0,65,30,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,5,0,40,50,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,7,0,15,75,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,0,0,60,25,15,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,10,0,15,85,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,0,0,10,85,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,0,0,80,15,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,45,0,10,90,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,10,0,10,90,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,4,0,15,0,1,84,15,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,25,0,2,98,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,30,0,20,75,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,1,0,0,100,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,0,0,85,15,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,0,0,90,10,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,5,0,15,80,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,10,0,60,40,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,0,0,75,10,15,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,5,0,15,80,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,5,0,0,0,80,10,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,0,0,85,10,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,0,0,65,15,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,0,0,90,10,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,5,0,15,85,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,0,0,95,5,0,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,0,0,10,50,40,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,0,0,85,10,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,1,0,10,35,55,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,0,0,15,65,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,6,0,0,0,45,45,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,3,0,25,35,40,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,1,3,0,73,12,15,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,0,0,35,35,30,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,38,0,30,60,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,0,0,70,20,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,0,0,80,12,8,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,0,0,5,40,55,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,0,0,20,70,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,0,0,80,10,10,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,7,0,5,0,85,12,3,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,30,0,5,90,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,2,12,0,10,78,12,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,5,0,15,80,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,4,0,60,20,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,3,0,20,60,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,5,0,30,65,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,0,0,80,15,5,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,3,0,30,45,25,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,5,0,70,28,2,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,8,0,0,0,70,10,20,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,9,0,0,0,58,15,27,0,0,1,5575.4,557.54
Solar (MN),Early Season,1,Square plot,9,0,0,0,80,8,12,0,0,1,5575.4,557.54
